oblastLabel
Moscow Oblast
Samara Oblast
Kaliningrad Oblast
Murmansk Oblast
Arkhangelsk Oblast
Vologda Oblast
Leningrad Oblast
Pskov Oblast
Novgorod Oblast
Nizhny Novgorod Oblast
Tver Oblast
Smolensk Oblast
Yaroslavl Oblast
Kostroma Oblast
Ivanovo Oblast
Vladimir Oblast
Ryazan Oblast
Tula Oblast
Bryansk Oblast
Kaluga Oblast
Oryol Oblast
Kursk Oblast
Belgorod Oblast
Voronezh Oblast
Lipetsk Oblast
Tambov Oblast
Rostov Oblast
Volgograd Oblast
Astrakhan Oblast
Saratov Oblast
Orenburg Oblast
Kirov Oblast
Sverdlovsk Oblast
Penza Oblast
Ulyanovsk Oblast
Chelyabinsk Oblast
Kurgan Oblast
Tyumen Oblast
Omsk Oblast
Novosibirsk Oblast
Tomsk Oblast
Kemerovo Oblast
Irkutsk Oblast
Amur Oblast
Sakhalin Oblast
Magadan Oblast
Chita Oblast
Kamchatka Oblast
Perm Oblast
